0,1,2,3,4,cls
92,2,1,1,2,0
36,2,2,1,1,0
105,3,2,1,1,0
81,1,2,1,1,0
94,1,1,2,1,0
20,1,1,3,3,0
50,1,2,1,1,0
68,3,3,2,1,0
89,3,1,3,2,0
19,3,2,1,3,0
118,2,1,2,1,0
16,3,2,1,3,0
91,2,3,2,1,0
30,1,1,3,2,0
57,3,2,1,1,0
114,2,2,1,3,0
66,1,1,1,2,0
74,3,2,1,1,0
106,3,1,2,1,0
130,2,1,1,2,0
54,1,1,1,2,0
67,3,3,1,1,0
69,3,3,3,1,0
127,3,1,2,1,0
96,1,1,1,2,0
121,2,1,3,2,0
123,2,1,2,1,0
42,2,2,1,3,0
5,1,3,2,1,0
95,2,3,2,1,0
119,3,1,3,2,0
93,2,1,2,1,0
132,2,2,1,1,0
108,1,1,2,1,0
120,1,1,3,2,0
35,1,2,1,3,0
112,1,1,1,3,0
59,1,1,1,2,0
1,3,2,1,1,0
28,1,1,2,1,0
97,2,1,3,1,0
51,3,1,1,2,0
103,2,2,1,1,0
7,1,2,1,1,0
15,1,3,2,1,0
126,3,1,2,1,0
45,3,1,1,2,0
131,2,3,1,3,0
17,2,1,1,2,0
40,2,1,2,1,0
9,3,1,1,2,0
10,2,1,3,2,1
113,1,1,3,2,1
80,3,1,3,2,1
60,2,1,2,2,1
85,3,2,1,2,1
52,1,2,2,1,1
79,3,2,2,1,1
23,3,2,1,3,1
25,2,1,2,2,1
37,1,2,1,3,1
116,3,1,2,2,1
88,1,1,2,2,1
77,3,2,2,1,1
82,1,2,1,2,1
84,2,2,2,1,1
86,2,2,1,2,1
6,3,2,1,3,1
115,1,2,1,3,1
33,1,2,2,3,1
39,3,2,1,2,1
53,3,2,1,2,1
70,2,2,2,1,1
78,2,1,2,2,1
129,2,2,1,2,1
73,3,1,2,2,1
26,1,1,2,2,1
104,1,1,2,2,1
2,2,1,3,2,1
41,1,1,3,2,1
62,3,1,2,2,1
98,3,3,3,2,1
109,2,2,1,3,1
31,3,3,2,1,1
34,2,2,1,2,1
63,2,2,2,1,1
65,2,3,2,3,1
117,1,3,2,1,1
56,2,2,1,2,1
76,3,2,2,1,1
29,3,3,2,1,1
111,2,3,2,1,1
49,1,2,1,2,1
58,1,2,2,1,1
32,2,3,2,1,1
99,2,2,3,2,1
24,1,2,3,3,1
124,3,3,2,2,1
14,1,2,2,1,1
71,3,1,2,2,1
90,1,2,1,2,1
21,1,2,2,1,1
83,3,1,4,1,2
61,2,4,2,2,2
107,1,1,3,4,2
125,3,4,2,4,2
122,2,2,3,4,2
8,2,4,1,4,2
3,1,4,1,1,2
110,2,4,3,1,2
64,3,4,3,2,2
11,1,2,4,2,2
128,1,1,2,4,2
4,2,4,4,2,2
48,1,3,2,4,2
102,3,1,4,2,2
75,1,2,4,4,2
47,1,4,2,1,2
46,3,4,1,2,2
18,2,2,4,3,2
27,1,4,4,1,2
22,3,1,4,4,2
87,2,2,4,1,2
72,2,2,1,4,2
55,1,4,2,3,2
101,3,3,1,4,2
100,2,3,4,1,2
13,3,3,4,2,2
38,2,1,1,4,2
43,3,2,2,4,2
12,3,4,1,3,2
44,1,1,4,3,2
