Dataset,Original Rows,Columns,Type,Silhouettescore,DaviesBouldinscore,Calinskiharabazscore,Cohesionscore,Separationscore,RMSSTDscore,RSscore,XBscore,Adjustedrandomscore,Adjusted_mutual_info_score,Fowlkes_mallows_score,Normalizedmutualinfoscore,imbalanced_ratio_before_sampling,total_hypersphere,hypersphere_minority,hypersphere_majority,samplesperhypersphere,samplesperhypersphere_minority,samplesperhypersphere_majority,Average distance between class,overlapping,ComplexityMetric,WeightedCM,DualWeightedCM,None,SMOTE,NearMiss,SMOTEENN,Randomoversampling,ADASYN,BorderlineSMOTE,SVMSMOTE,RandomUnderSampler,ClusterCentroids,NearMissversion1,NearMissversion2,NearMissversion3,TomekLinks,EditedNearestNeighbours,RepeatedEditedNearestNeighbours,AllKNN,CondensedNearestNeighbour,NeighbourhoodCleaningRule,InstanceHardnessThreshold,SMOTETomek,KNN,DT,GNB,SVM,RF,F1,G-mean,Accuracy,Precision,Recall,AUC-ROC,AUC-PR,BalancedAccuracy,CWA
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.938333333,0.953380368,0.957122302,0.927386361,0.757979801,0.979506813,0.965213162,0.214237461,0.078907071
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.893219717,0.917031041,0.928550874,0.846061064,0.683696145,0.934324987,0.928149151,0.208468535,0.075496179
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.93611112,0.956123426,0.954254882,0.912554558,0.844419606,0.982711611,0.964513758,0.214917001,0.078958858
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.93213436,0.952007654,0.951397739,0.926984322,0.567817468,0.984646556,0.952358961,0.211791821,0.077780761
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.944655585,0.959481712,0.961397739,0.954877079,0.561900148,0.988768309,0.974298362,0.213446716,0.078772499
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,0.548235294,1,1,0.204907358,0.06741195
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.989404478,0.989502928,0.989480484,0.892652982,0.597637722,0.989546665,0.991243561,0.204438971,0.067286781
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.980437601,0.98013549,0.980150959,0.9862158,0.768380019,0.99370816,0.993367965,0.203403599,0.067115248
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.998830409,0.998833809,0.998830409,1,0.65658015,1,1,0.204907358,0.06741195
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.994068502,0.994126796,0.994165647,1,0.731116246,1,1,0.204827029,0.067365469
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.96758975,0.96721664,0.967254692,0.940585757,0.754234751,0.984205114,0.983612032,0.201451195,0.057383298
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.955040638,0.953879724,0.954151818,0.921253701,0.676783362,0.968981881,0.97329391,0.196027013,0.056465054
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.958026709,0.957186494,0.957436446,0.944095263,0.868383619,0.982367467,0.980081086,0.204451268,0.057810551
BreastCancer.csv,699,8,0,0.57844832,0.790520094,975.8074862,16676.35837,23347.08083,1.729375202,0.583335198,0.158728941,0.823167301,0.715623327,0.920658964,0.715941913,0.526200873,68,46,22,10.27941176,5.239130435,20.81818182,2.185602778,0.247839365,0.053941909,0.078838174,0.082987552,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.967916641,0.967017631,0.967266572,0.961950705,0.544358216,0.983304857,0.969662568,0.201177574,0.057408614
