,Original Rows,Columns,Type,Silhouettescore,DaviesBouldinscore,Calinskiharabazscore,Cohesionscore,Separationscore,RMSSTDscore,RSscore,XBscore,Adjustedrandomscore,Adjusted_mutual_info_score,Fowlkes_mallows_score,Normalizedmutualinfoscore,imbalanced_ratio_before_sampling,total_hypersphere,hypersphere_minority,hypersphere_majority,samplesperhypersphere,samplesperhypersphere_minority,samplesperhypersphere_majority,Average distance between class,overlapping
4,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
9,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
14,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
19,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
24,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
29,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
34,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
39,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
44,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
49,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
54,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
59,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
64,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
69,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
74,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
79,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
84,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
89,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
94,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
99,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
104,731,8,0,0.521732801,0.699663904,945.2961275,250.2008679,324.4360926,0.207126491,0.564593152,0.17580708,0.01336687,0.001432505,0.700532419,0.003027843,0.06095791,85,27,58,8.6,1.555555556,11.87931034,1.001609192,0.032760204
109,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
114,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
119,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
124,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
129,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
134,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
139,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
144,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
149,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
154,365,19,0,0.563469838,0.593468647,625.845148,14434356.69,24886149.02,45.74763037,0.632905111,0.143348443,0.019464978,0.02408099,0.527662185,0.026076123,0.586956522,131,56,75,2.786259542,2.410714286,3.066666667,8.108171449,0.0
